"""","総 数(ﾄﾝ)"," 海面 　漁業・  養殖業(ﾄﾝ)","(a)遠洋漁業(ﾄﾝ)","(b)沖合漁業(ﾄﾝ)","(c)沿岸漁業_漁船漁業(ﾄﾝ)","(d)沿岸漁業_定置網・地びき網(ﾄﾝ)","(e)海面養殖業(ﾄﾝ)"," 内水面 　漁業・  養殖業(ﾄﾝ)","内水面漁業(ﾄﾝ)","内水面養殖業(ﾄﾝ)"
"昭和60年(1985年)","82098.0","78728.0","10768.0","33472.0","23454.0","4748.0","6286.0","3370.0","679.0","2691.0"
"平成 2年(1990年)","77210.0","73436.0","10440.0","31785.0","18422.0","4974.0","7815.0","3774.0","679.0","3095.0"
"平成 7年(1995年)","75964.0","72527.0","8437.0","33353.0","19023.0","4662.0","7052.0","3437.0","739.0","2698.0"
"平成12年(2000年)","56435.0","53902.0","3459.0","26713.0","14835.0","2960.0","5935.0","2534.0","733.0","1801.0"
"平成17年(2005年)","36685.0","35013.0","1083.0","15475.0","12764.0","","5691.0","1672.0","378.0","1294.0"
"平成20年(2008年)","38427.0","37157.0","33154.0","","","","4003.0","1270.0","6.0","1264.0"
"平成21年(2009年)","31529.0","30429.0","27323.0","","","","3106.0","1100.0","8.0","1092.0"
"平成22年(2010年)","32738.0","31584.0","28598.0","","","","2986.0","1154.0","6.0","1148.0"
"","","","","","","","","","",""
"平成23年(2011年)","31305.0","30231.0","28361.0","","","","1871.0","1074.0","6.0","1068.0"
"平成24年(2012年)","27409.0","26445.0","24896.0","","","","1549.0","964.0","6.0","958.0"
"平成25年(2013年)","26372.0","25391.0","23638.0","","","","1753.0","981.0","5.0","976.0"
